pretty_name,population,WSP_Art_new,wsp2,cb3,outdegree,closeness_bi,betweenness_bi,indegree,position,singleton
Isny im Allgau (Germany),6004,core,core,core,0,0.3261235096300825,5.521995284549502e-08,6,Isolate,0
Le Puy (France),22205,core,core,core,14,0.331993360651486,0.0003191221716677032,1,Isolated Clique,0
Dormelletto (Italy),11867,core,core,core,1,0.3244126815175245,0.0001562377939223497,1,Isolated Clique,0
"Coeur D'Alene (USA, ID)",46716,core,core,core,21,0.3592154001571445,0.0009666211887963708,18,Isolated Clique,0
Montereau (France),15164,core,core,core,0,0.3260653608089865,5.11589538210824e-07,4,Isolate,0
"Clute (USA, TX)",29806,core,core,core,2,0.3350520860597812,3.60249540958273e-06,3,Isolated Clique,0
"Richlands (USA, VA)",7209,core,core,core,0,0.330732463506007,0.0,3,Isolate,0
Markina-Xemein (Spain),3922,semi,core,core,0,0.2812170474516696,0.0,2,Isolate,0
Bollene (France),9729,core,core,core,0,0.3397112679794066,0.0,2,Isolated Clique,0
Schweinfurt (Germany),48098,core,core,core,4,0.3554648450516494,2.383146165835177e-06,16,High-status clique,0
Numbrecht (Germany),15908,core,core,core,0,0.3433652530779754,0.0,7,Isolated Clique,0
Horovice (Czech Republic),9786,periph,semi,core,0,0.3506931127061531,2.366524024231259e-07,6,Isolated Clique,0
Bad Sobernheim (Germany),5402,core,core,core,0,0.3304933777399117,1.158584970983525e-07,3,Isolate,0
"Lexington Park (USA, MD)",32984,core,core,core,0,0.3502421406878437,3.195793726061973e-08,8,Isolate,0
Ravensburg (Germany),49507,core,core,core,8,0.3589535079356178,7.208944228951325e-06,14,Isolated Clique,0
Moulins (France),28312,core,core,core,0,0.3443906376109766,0.0,3,Isolated Clique,0
Brunico (Italy),11060,core,core,core,0,0.2895171321949565,1.627092612562873e-07,3,Isolate,0
"Oakland (USA, MD)",4076,core,core,core,0,0.3480613410190875,0.0,4,Isolate,0
Epinal (France),35784,core,core,core,0,0.3473718487965048,0.0,6,Isolate,0
"Ridgeland (USA, MS)",28712,core,core,core,13,0.3700887565410969,0.000325307511097037,23,High-status clique,0
Bitterfeld-Wolfen (Germany),24510,core,core,core,0,0.3559590679050109,1.892951474487188e-07,15,Isolate,0
Feuquieres-en-Vimeu (France),4165,core,core,core,0,0.3459262261856506,0.0,5,Isolated Clique,0
Grossheubach (Germany),11764,core,core,core,0,0.310049168018989,6.133418843495014e-08,2,Isolate,0
"Menominee (USA, MI)",15794,core,core,core,1,0.3594978656481689,6.18973033801486e-06,22,High-status clique,0
Dobsice (Czech Republic),29202,periph,semi,core,0,0.3509238445090191,0.0,6,Isolated Clique,0
Berchtesgaden (Germany),15717,core,core,core,0,0.3284413085311097,0.0,2,Isolate,0
Thaon-les-Vosges (France),9572,core,core,core,3,0.3565043027821873,3.862689395201706e-08,4,Isolated Clique,0
Haiger (Germany),25940,core,core,core,7,0.3379266650827591,4.098214329434215e-06,5,Isolated Clique,0
Haslach im Kinzigtal (Germany),16877,core,core,core,9,0.3522467736165763,0.0001591996103462094,4,Isolated Clique,0
"Lewiston (USA, ID)",37532,core,core,core,0,0.333628710677891,7.933003082516655e-08,5,Isolate,0
Neuchatel (Switzerland),52878,core,core,core,0,0.3840799303909508,1.045969385395107e-05,37,High-status clique,0
Thisted (Denmark),8397,core,core,core,0,0.3326576752163405,0.0,2,Isolate,0
"West Point (USA, GA)",9615,core,core,core,3,0.3590038421628292,2.551222442708995e-07,7,Isolated Clique,0
Ettenheim (Germany),17474,core,core,core,15,0.3443721080383084,0.000176039855160034,3,Isolated Clique,0
Sept-Iles (Canada),18893,core,core,core,0,0.333064474163501,0.0,4,Isolate,0
Valaska (Slovakia),7562,periph,semi,semi,13,0.3362225198959893,0.0001593154457301098,5,Isolated Clique,0
Hedensted (Denmark),11846,core,core,core,2,0.335210013616843,1.050951888236047e-06,3,Isolated Clique,0
"Aberdeen (USA, WA)",19540,core,core,core,2,0.3356054846236531,5.090493940938429e-07,6,Isolated Clique,0
Wasserburg am Bodensee (Germany),35946,core,core,core,1,0.3637164369938912,3.092312242199623e-06,11,Isolated Clique,0
Brackenheim (Germany),16341,core,core,core,1,0.352401927047488,0.0,4,Isolated Clique,0
"Sterling (USA, IL)",21052,core,core,core,4,0.340126474651929,0.0003125337640746913,6,Isolated Clique,0
Takefu (Japan),24777,core,core,core,0,0.3428502557784504,0.0,8,Isolate,0
"Eau Claire (USA, WI)",52854,core,core,core,12,0.3707425857275255,0.0003586089714137671,18,High-status clique,0
Bingen (Germany),11103,core,core,core,2,0.3534137654951547,1.342952279682972e-07,5,Isolated Clique,0
Saint-Omer (France),51922,core,core,core,3,0.2726111122942266,2.681642986559345e-08,2,Isolated Clique,1
Komarom (Hungary),26459,semi,,,0,0.3354471842981054,1.336321761510269e-07,5,Isolate,0
"Dover (USA, NH)",38431,core,core,core,4,0.3694692181141224,7.213883941342459e-06,17,Isolated Clique,0
Mattersburg (Austria),11229,core,core,core,0,0.344743078746095,0.0,3,Isolate,0
Umsong (Korea (South)),3541,semi,core,core,5,0.3494771902044828,8.024744274278686e-06,8,Isolated Clique,0
Or Akiva (Israel),24324,semi,core,core,6,0.3658578410357541,1.06753137430187e-06,20,Isolated Clique,0
"Shamokin (USA, PA)",8218,core,core,core,0,0.3388749172733289,0.0,2,Isolate,0
Ypres (Belgium),13023,core,core,core,19,0.3629121424318884,2.724483724466551e-05,9,High-status clique,0
"Hazleton (USA, PA)",26160,core,core,core,0,0.355188679245283,2.593917105718418e-06,16,Isolate,0
Bonaduz (Switzerland),14668,core,core,core,0,0.3362313511241857,6.441115222565588e-08,5,Isolated Clique,0
Michelstadt (Germany),17688,core,core,core,0,0.3274248004910988,0.0,3,Isolate,0
Haparanda (Sweden),16129,core,,,0,0.3350959398968613,0.0,4,Isolated Clique,0
"Mauldin (USA, SC)",333339,core,core,core,13,0.3865036231884058,0.0003358093376702833,35,High-status clique,0
Monfalcone (Italy),42200,core,core,core,0,0.306427289048474,9.774087210205151e-08,4,Isolate,0
Hamilton (Bermuda),15997,periph,semi,periph,824,0.4445254714032712,0.002776285379066236,183,Primary,0
"Bellaire (USA, OH)",7824,core,core,core,0,0.3330471433031533,2.145623475116238e-07,3,Isolate,0
"Chattanooga (USA, TN)",46691,core,core,core,106,0.412975449237023,0.0007634276397297255,112,Primary,0
Zielona Gora (Poland),13342,periph,core,core,0,0.3416515426497277,0.000156314194848273,8,Isolate,0
Boudry (Switzerland),12565,core,core,core,13,0.3658787549661303,2.42865574055497e-05,9,High-status clique,0
Neungseo-myeon (Korea (South)),27692,semi,core,core,0,0.3366469428007889,3.576421876041887e-07,2,Isolate,0
Minami-Uonuma (Japan),73072,core,core,core,0,0.3232739027223597,0.0,2,Isolate,0
"Farmingdale (USA, ME)",6677,core,core,core,9,0.3416880204996797,0.0002066003667761945,5,Isolated Clique,0
Toging am Inn (Germany),8857,core,core,core,0,0.3363461993221051,0.0,2,Isolate,0
Shimotsuma (Japan),247082,core,core,core,0,0.3384090728844476,3.028575657564347e-09,8,Isolated Clique,0
"Parkersburg (USA, WV)",23945,core,core,core,1,0.3417245061398825,1.442447596624805e-06,13,Isolated Clique,0
"Storrs (USA, CT)",10148,core,core,core,0,0.3265561224489796,0.0,2,Isolate,0
"Iron Mountain (USA, MI)",12483,core,core,core,0,0.3582904164800716,1.47482127991691e-05,7,Isolate,0
Lengwil-Oberhofen (Switzerland),9544,core,core,core,6,0.3362666806766838,9.63305524367075e-06,2,Isolated Clique,0
